transect_id,along_baseline_m,transect_center_x_utm,transect_center_y_utm,transect_center_longitude,transect_center_latitude,1952,1990,1995,2000,2005,2010,2015,2020,2025
244,122000,223689.14504247587,2492531.3902210193,90.31396335314017,22.51696750596007,4449.354376415082,,,,,,,,
245,122500,223689.14504247587,2493031.3902210193,90.31387608913411,22.52147951415335,4811.738620240067,,4323.828019592707,4296.083863287728,,,,4157.362977604207,
246,123000,223689.14504247587,2493531.3902210193,90.31378880288598,22.525991519498472,,,3195.194500196667,3222.938042748894,,,,3167.451004819013,
247,123500,223689.14504247587,2494031.3902210193,90.31370149439253,22.53050352199497,,,3315.0492524967995,3342.7918516940845,,,,3315.0492524967995,
248,124000,223689.14504247587,2494531.3902210193,90.31361416365051,22.535015521642357,4875.374200890452,,3629.089904192195,3629.089940921782,,,,4017.4720733749855,
249,124500,223689.14504247587,2495031.3902210193,90.31352681065673,22.539527518440135,4762.199398724508,,3970.8522624179022,4248.2583934734575,,,,4303.739536671754,
250,125000,223689.14504247587,2495531.3902210193,90.31343943540793,22.54403951238783,4148.283097797248,,2703.6817558704643,2315.320191831095,,,,2287.580027674441,
251,125500,223689.14504247587,2496031.3902210193,90.31335203790088,22.548551503484944,4206.799396176502,,2324.240982849791,2324.2410119940178,,,,2324.240982849791,
252,126000,223689.14504247587,2496531.3902210193,90.31326461813235,22.553063491731,4529.147443808004,,2582.8083629036264,2582.8083845305664,,,,2582.80837870526,
253,126500,223689.14504247587,2497031.3902210193,90.3131771760991,22.557575477125493,3205.436526741134,,2869.0979882249376,2869.0979882249376,,,,2813.6233321322943,
254,127000,223689.14504247587,2497531.3902210193,90.3130897117979,22.56208745966795,3229.843134678842,,3127.6341712281865,3099.897828088491,,,,3072.1614643905486,
255,127500,223689.14504247587,2498031.3902210193,90.3130022252255,22.566599439357883,3559.3021432411333,,3497.0967408146826,3497.0967666240176,,,,3413.8906479945,
256,128000,223689.14504247587,2498531.3902210193,90.31291471637869,22.571111416194803,4220.163589886448,,4171.6140084897925,4143.879722815502,,,,4393.488137449895,
257,128500,223689.14504247587,2499031.3902210193,90.31282718525418,22.575623390178233,4288.14659840957,,4929.285309134226,4929.285485465458,,,,4929.285270967404,
258,129000,223689.14504247587,2499531.3902210193,90.31273963184877,22.58013536130766,4741.6536830238765,,4827.205542681069,4854.937847831316,,,,4827.205536283582,
259,129500,223689.14504247587,2500031.3902210193,90.31265205615921,22.584647329582623,,,4752.866043502785,4752.866061140114,,,,4752.866188851331,
260,130000,223689.14504247587,2500531.3902210193,90.31256445818227,22.589159295002627,,,4650.803049255075,4844.9168473558675,,,,4733.994718995615,
261,130500,223689.14504247587,2501031.3902210193,90.31247683791466,22.593671257567173,,,3994.153600033431,4548.748829285934,,,,4021.883427529363,
262,131000,223689.14504247587,2501531.3902210193,90.31238919535318,22.598183217275796,,,2727.5034195867484,,,,,2699.7742136218876,
263,131500,223689.14504247587,2502031.3902210193,90.31230153049455,22.60269517412799,4859.386697358248,,2653.2495764104533,,,,,4871.496407695464,
264,132000,223689.14504247587,2502531.3902210193,90.31221384333557,22.607207128123292,4421.702261232567,,4630.8172016207245,,,,,3133.5509241733816,
265,132500,223689.14504247587,2503031.3902210193,90.31212613387294,22.611719079261185,3711.9757032255,,3142.472779076401,,,,,3003.840506595414,
266,133000,223689.14504247587,2503531.3902210193,90.31203840210343,22.616231027541197,3454.7175566524966,,,,,,,,
267,133500,223689.14504247587,2504031.3902210193,90.3119506480238,22.62074297296285,4137.954843662388,,4768.338263071666,,,,,,
268,134000,223689.14504247587,2504531.3902210193,90.31186287163078,22.625254915525655,,,3169.248504304065,,,,,,
269,134500,223689.14504247587,2505031.3902210193,90.31177507292114,22.62976685522911,4981.981301484775,,3510.8504256491724,,,,,,
270,135000,223689.14504247587,2505531.3902210193,90.31168725189161,22.63427879207274,3998.0916206821857,,3963.3182269155513,,,,,,
271,135500,223689.14504247587,2506031.3902210193,90.31159940853892,22.638790726056058,4435.875035261241,,3928.4917573331622,,,,3900.7689374344773,3928.4917573331622,3928.4917573331622
272,136000,223689.14504247587,2506531.3902210193,90.31151154285985,22.643302657178577,4645.606802674942,,2422.352185407857,,,,4030.2130573697505,2927.7717260216596,4030.2130573697505
273,136500,223689.14504247587,2507031.3902210193,90.31142365485111,22.64781458543981,4947.597043084359,,2773.601689037372,,,,2829.04313391546,2936.716148949781,2829.04313391546
274,137000,223689.14504247587,2507531.3902210193,90.31133574450948,22.65232651083928,2297.692718235572,,2252.7010883435723,,,,2736.749121200817,4165.26331475348,2736.749121200817
275,137500,223689.14504247587,2508031.3902210193,90.31124781183166,22.656838433376485,4417.033808395587,,3952.433839990146,,,,4007.8682594568527,2644.458878919191,4007.8682594568527
276,138000,223689.14504247587,2508531.3902210193,90.31115985681441,22.661350353050953,1505.793194457132,,1970.096790968615,,,,2552.1724462746934,2053.250489993283,2552.1724462746934
