transect_id,year,x_utm,y_utm,longitude,latitude,distance_from_baseline_m
424,1990,219086.93912053973,2582531.3902210193,90.25292811214658,23.328300069763902,4602.20592193614
438,1990,228593.4227288586,2589531.3902210193,90.34455627086254,23.39306542113167,4904.277686382731
439,1990,227527.53554537872,2590031.3902210193,90.33404598224362,23.397399553212917,3838.3905029028538
441,1990,228345.40628237167,2591031.3902210193,90.34186132464777,23.406559027662613,4656.261239895801
442,1990,227224.51219408112,2591531.3902210193,90.33081204714541,23.410883673166584,3535.3671516052564
443,1990,226076.1212291652,2592031.3902210193,90.3194932743022,23.415202852055934,2386.9761866893386
444,1990,224955.36070918047,2592531.3902210193,90.30844399590043,23.41952579819638,1266.2156667046074
445,1990,223696.85645833547,2593031.3902210193,90.29604724529132,23.423824564597947,7.711415859608678
446,1990,222383.30188709864,2593531.3902210193,90.28311150489955,23.42811289779844,1305.8431553772243
447,1990,220711.53030459917,2594031.3902210193,90.26667233586448,23.432338754537007,2977.614737876691
448,1990,219236.09309963032,2594531.3902210193,90.25215211318591,23.43659660503028,4453.0519428455445
449,1990,227427.17192681448,2595031.3902210193,90.33215951937548,23.44249846167605,3738.0268843386148
450,1990,225672.81463196457,2595531.3902210193,90.31491186609712,23.44671556254563,1983.6695894887089
451,1990,224772.79532171722,2596031.3902210193,90.30601854502578,23.45107522470101,1083.650279241352
452,1990,224031.52159237652,2596531.3902210193,90.29867722225839,23.455461230413444,342.37654990065494
453,1990,223083.14304678055,2597031.3902210193,90.28930988065021,23.459811634072793,606.0019956953183
454,1990,222045.51779933838,2597531.3902210193,90.2790690864745,23.464146179460098,1643.6272431374819
455,1990,220704.8668945096,2598031.3902210193,90.26586385163858,23.468428016331497,2984.2781479662517
456,1990,219502.05682017843,2598531.3902210193,90.2540060899116,23.472732416665096,4187.088222297432
457,1990,219043.22568108412,2599031.3902210193,90.2494246817113,23.477164485698633,4645.919361391745
493,1990,227671.53013505315,2617031.3902210193,90.33054255270352,23.641045096378004,3982.385092577286
494,1990,227240.6363422943,2617531.3902210193,90.3262306389357,23.645483760575882,3551.4912998184445
495,1990,226974.85899617485,2618031.3902210193,90.3235356927245,23.64995022248468,3285.7139536989853
496,1990,227837.14911482832,2618531.3902210193,90.33189002490589,23.65460732256581,4148.004072352458
497,1990,225865.59728692862,2619031.3902210193,90.31248641522332,23.658784865238076,2176.452244452754
498,1990,224719.51338806414,2619531.3902210193,90.30116764238024,23.663100981471278,1030.368345588271
499,1990,223573.49796299406,2620031.3902210193,90.28984886953721,23.667416211269877,115.64707948180148
500,1990,223087.80918015543,2620531.3902210193,90.28499796778421,23.67184411187627,601.3358623204404
501,1990,222492.11420587753,2621031.3902210193,90.27906908648367,23.67625288979508,1197.0308365983365
502,1990,222199.05866384646,2621531.3902210193,90.276104645817,23.680713607512075,1490.0863786294067
503,1990,221933.53298337554,2622031.3902210193,90.27340970052248,23.685178999740476,1755.6120591003273
504,1990,221695.53443106028,2622531.3902210193,90.27098424944325,23.6896490825799,1993.6106114155846
505,1990,221650.09845792045,2623031.3902210193,90.27044525986825,23.694152407424646,2039.0465845554136
506,1990,221852.2162934821,2623531.3902210193,90.27233172190718,23.698698513581093,1836.928748993756
507,1990,221944.30490304204,2624031.3902210193,90.27314020617274,23.70322560254439,1744.8401394338289
508,1990,222091.3961421007,2624531.3902210193,90.2744876782987,23.707762189723873,1597.7489003751543
509,1990,222100.96743580347,2625031.3902210193,90.2744876783221,23.7122750238369,1588.1776066723978
510,1990,221588.01077587632,2625531.3902210193,90.26936728119276,23.716697500361263,2101.134266599547
511,1990,218875.00042759159,2626031.3902210193,90.24268731709284,23.720736705074906,4814.144614884281
512,1990,218829.68767280685,2626531.3902210193,90.2421483282451,23.725239834974634,4859.45736966902
513,1990,219031.87589039726,2627031.3902210193,90.24403479023167,23.729786233536004,4657.269152078603
